,HIAA80,90837,CPT4,490,11,POS,206
,HIAA80,90837,CPT4,800,11,MBH,260
,HIAA80,90837,CPT4,115,11,TC,352
,REF,90837,CPT4,AK01,11,TRICR,225.83
,HIAA80,90837,CPT4,394,11,HMO,205
,HIAA80,90837,CPT4,208,11,TC,273
,HIAA80,90837,CPT4,402,11,MEPPO,205
,REF,90837,CPT4,AK01,11,EAP,225.83
,HIAA80,90837,CPT4,370,11,MWC,193
,HIAA80,90837,CPT4,580,11,TRICR,334
,HIAA80,90837,CPT4,465,11,QPOS,190
,HIAA80,90837,CPT4,647,11,MEPPO,200
,HIAA80,90837,CPT4,147,11,QPOS,164
,REF,90837,CPT4,AK01,11,MBH,225.83
,HIAA80,90837,CPT4,465,11,MEPOS,190
,HIAA80,90837,CPT4,304,11,ALL,249
,HIAA80,90837,CPT4,067,11,SLFIN,205
,HIAA80,90837,CPT4,065,11,MEHMO,205
,HIAA80,90837,CPT4,482,11,QPOS,231
,HIAA80,90837,CPT4,920,11,MWC,297
,HIAA80,90837,CPT4,200,11,MWC,257
,HIAA80,90837,CPT4,387,11,TC,205
,HIAA80,90837,CPT4,436,11,TRICR,185
,HIAA80,90837,CPT4,200,11,POS,257
,HIAA80,90837,CPT4,164,11,EAP,176
,HIAA80,90837,CPT4,210,11,MEPOS,205
,HIAA80,90837,CPT4,239,11,ALL,256
,HIAA80,90837,CPT4,550,11,TC,257
,HIAA80,90837,CPT4,731,11,TRICR,194
,HIAA80,90837,CPT4,750,11,USACC,236
,HIAA80,90837,CPT4,543,11,DHMO,437
,HIAA80,90837,CPT4,436,11,MCAID,185
,HIAA80,90837,CPT4,454,11,MBH,179
,HIAA80,90837,CPT4,531,11,HMOAVN,288
,HIAA80,90837,CPT4,820,11,VPHMO,256
,HIAA80,90837,CPT4,765,11,DHMO,241
,HIAA80,90837,CPT4,080,11,HMOAVN,226
,REF,90837,CPT4,AK01,11,EAP,225.83
,HIAA80,90837,CPT4,313,11,MPPO,205
,HIAA80,90837,CPT4,770,11,MHMO,352
,HIAA80,90837,CPT4,913,11,TC,276
,HIAA80,90837,CPT4,440,11,MBH,216
,HIAA80,90837,CPT4,336,11,MPPO,282
,HIAA80,90837,CPT4,085,11,HMOHRA,368
,HIAA80,90837,CPT4,943,11,POS,601
,HIAA80,90837,CPT4,550,11,SLFIN,257
,HIAA80,90837,CPT4,064,11,MEFFS,201
,REF,90837,CPT4,AK01,11,MPPO,153.38
,HIAA80,90837,CPT4,024,11,VPHMO,256
,HIAA80,90837,CPT4,482,11,SLFIN,231
,HIAA80,90837,CPT4,066,11,QPOS,225
,HIAA80,90837,CPT4,450,11,MEPPO,231
,HIAA80,90837,CPT4,805,11,MC,274
,HIAA80,90837,CPT4,482,11,EAP,231
,HIAA80,90837,CPT4,647,11,MEPO,200
,HIAA80,90837,CPT4,013,11,ALL,215
,HIAA80,90837,CPT4,292,11,NNHMO,189
,HIAA80,90837,CPT4,483,11,NNHMO,232
,HIAA80,90837,CPT4,703,11,MBH,154
,HIAA80,90837,CPT4,226,11,VPHMO,233
,REF,90837,CPT4,AK01,11,ALL,204.5
,HIAA80,90837,CPT4,493,11,MEFFS,201
,HIAA80,90837,CPT4,620,11,TRICR,195
,HIAA80,90837,CPT4,620,11,MPPO,195
,HIAA80,90837,CPT4,433,11,SLFIN,180
,HIAA80,90837,CPT4,298,11,VPHMO,257
,HIAA80,90837,CPT4,458,11,HMOHRA,196
,HIAA80,90837,CPT4,553,11,TC,253
,HIAA80,90837,CPT4,232,11,TC,186
,HIAA80,90837,CPT4,716,11,TC,245
,HIAA80,90837,CPT4,201,11,TRICR,273
,HIAA80,90837,CPT4,054,11,POS,154
,HIAA80,90837,CPT4,210,11,USACC,205
,HIAA80,90837,CPT4,441,11,SLFIN,257
,HIAA80,90837,CPT4,537,11,DPPO,251
,HIAA80,90837,CPT4,841,11,MEHMO,185
,HIAA80,90837,CPT4,549,11,MEPO,413
,HIAA80,90837,CPT4,756,11,POS,242
,HIAA80,90837,CPT4,350,11,MEPO,164
,HIAA80,90837,CPT4,618,11,MWC,211
,HIAA80,90837,CPT4,522,11,MEPOS,231
,HIAA80,90837,CPT4,275,11,QPOS,241
,HIAA80,90837,CPT4,407,11,HMOHRA,211
,HIAA80,90837,CPT4,612,11,ALL,231
,HIAA80,90837,CPT4,787,11,NNHMO,273
,HIAA80,90837,CPT4,787,11,EAP,273
,HIAA80,90837,CPT4,164,11,MHMO,176
,HIAA80,90837,CPT4,787,11,TC,273
,HIAA80,90837,CPT4,730,11,DPPO,179
,HIAA80,90837,CPT4,932,11,MHMO,251
,HIAA80,90837,CPT4,669,11,MEPO,201
,HIAA80,90837,CPT4,086,11,MEPOS,261
,HIAA80,90837,CPT4,853,11,NNHMO,241
,HIAA80,90837,CPT4,837,11,HMOHRA,205
,HIAA80,90837,CPT4,481,11,HMOAVN,231
,HIAA80,90837,CPT4,420,11,MEHMO,164
,HIAA80,90837,CPT4,601,11,TC,216
,HIAA80,90837,CPT4,017,11,,226
,HIAA80,90837,CPT4,300,11,MCARE,226
,REF,90837,CPT4,AK01,11,TC,153.38
,REF,90837,CPT4,AK01,11,TC,173.83
,HIAA80,90837,CPT4,044,11,TRICR,184
,HIAA80,90837,CPT4,407,11,,211
,REF,90837,CPT4,AK01,11,NNHMO,153.38
,HIAA80,90837,CPT4,463,11,MCAID,232
,REF,90837,CPT4,AK01,11,DHMO,153.38
,REF,90837,CPT4,AK01,11,EAP,153.38
